"Geographic code","Geographic name","Global non-response rate","Data quality flag","Age","Mother tongue - Total (2016 counts)","Mother tongue - English (2016 counts)","Mother tongue - French (2016 counts)","Mother tongue - Non-official language (2016 counts)","Mother tongue - English and French (2016 counts)","Mother tongue - English and non-official language (2016 counts)","Mother tongue - French and non-official language (2016 counts)","Mother tongue - English, French and non-official language (2016 counts)","Mother tongue - Total (% distribution (2016))","Mother tongue - English (% distribution (2016))","Mother tongue - French (% distribution (2016))","Mother tongue - Non-official language (% distribution (2016))","Mother tongue - English and French (% distribution (2016))","Mother tongue - English and non-official language (% distribution (2016))","Mother tongue - French and non-official language (% distribution (2016))","Mother tongue - English, French and non-official language (% distribution (2016))","Mother tongue - Total (% change (2011 to 2016))","Mother tongue - English (% change (2011 to 2016))","Mother tongue - French (% change (2011 to 2016))","Mother tongue - Non-official language (% change (2011 to 2016))","Mother tongue - English and French (% change (2011 to 2016))","Mother tongue - English and non-official language (% change (2011 to 2016))","Mother tongue - French and non-official language (% change (2011 to 2016))","Mother tongue - English, French and non-official language (% change (2011 to 2016))","Mother tongue - Total (% change (2006 to 2016))","Mother tongue - English (% change (2006 to 2016))","Mother tongue - French (% change (2006 to 2016))","Mother tongue - Non-official language (% change (2006 to 2016))","Mother tongue - English and French (% change (2006 to 2016))","Mother tongue - English and non-official language (% change (2006 to 2016))","Mother tongue - French and non-official language (% change (2006 to 2016))","Mother tongue - English, French and non-official language (% change (2006 to 2016))"
"35","Ontario","3.7","20000","15 to 19","809710","602760","22485","156135","4365","22020","690","1255","100","74.4","2.8","19.3","0.5","2.7","0.1","0.2","-6","-8.7","-10.3","2.1","13.8","27.8","0","45.9","-2.5","-4.3","-13.5","-3.5","69.8","136.9","70.4","274.6"
"35","Ontario","3.7","20000","20 to 24","891580","637250","24440","200875","4380","22955","745","930","100","71.5","2.7","22.5","0.5","2.6","0.1","0.1","4.9","2.4","-2.2","10.6","16.5","43.6","-2","50","12.2","10.8","-2.7","10.6","80.6","148","77.4","204.9"
"35","Ontario","3.7","20000","25 to 44","3440770","2203005","113105","1016900","13855","87375","3940","2590","100","64","3.3","29.6","0.4","2.5","0.1","0.1","2.1","0.8","-5.4","3.9","11.1","27.8","-11.8","31.5","0.1","-2.2","-16.2","2.1","64.4","109.2","35.2","164.3"
"35","Ontario","3.7","20000","45 to 64","3809645","2422520","164945","1145095","9870","61700","3920","1595","100","63.6","4.3","30.1","0.3","1.6","0.1","0","3.7","0.4","-4.6","11.6","8.3","32.6","-2.1","36.3","19","14.5","0.7","29.3","45.1","124.7","90.8","172.6"
"35","Ontario","3.7","20000","65 and over","2155430","1340965","107390","676790","5870","22180","1645","590","100","62.2","5","31.4","0.3","1","0.1","0","20.5","20.4","16.3","21.1","23.4","39.5","-21.9","37.2","38.5","40","37.2","34","50.5","123.4","48.2","118.5"
"35","Ontario","3.7","20000","65 to 74","1254045","809145","63945","362720","3315","13570","970","375","100","64.5","5.1","28.9","0.3","1.1","0.1","0","26.2","28.9","18.5","21.5","21.7","49.1","-13","50","46.3","56.7","38.7","26.6","61.7","132.8","76.4","158.6"
"35","Ontario","3.7","20000","75 and over","901385","531820","43445","314070","2555","8605","670","215","100","59","4.8","34.8","0.3","1","0.1","0","13.4","9.4","13.3","20.6","25.9","26.7","-32.7","22.9","29","20.5","35","43.7","38.5","109.9","19.6","65.4"
"46","Manitoba","4.3","00000","Total","1261620","900610","40525","288985","4365","25965","700","475","100","71.4","3.2","22.9","0.3","2.1","0.1","0","5.7","3.5","-3.7","12.7","15","37.1","-50.9","31.9","11.3","7.4","-7.8","22.3","66","122.5","60.9","458.8"
"46","Manitoba","4.3","00000","0 to 14","243420","192505","4195","39505","1205","5750","75","190","100","79.1","1.7","16.2","0.5","2.4","0","0.1","5.5","4.4","5.7","6","24.9","45.2","-54.5","46.2","8.2","2.8","-1.8","28.7","75.9","178.5","87.5",""
"46","Manitoba","4.3","00000","0 to 4","80965","64010","1335","13070","395","2095","25","30","100","79.1","1.6","16.1","0.5","2.6","0","0","5","3.7","9","6.9","0","47","-58.3","0","18.9","14.2","1.5","35.4","79.5","158.6","25",""
"46","Manitoba","4.3","00000","5 to 9","83280","66660","1455","12760","410","1880","20","85","100","80","1.7","15.3","0.5","2.3","0","0.1","11.7","11.8","14.1","6","39","53.5","-55.6","88.9","12.7","8","8.6","27","64","241.8","100",""
"46","Manitoba","4.3","00000","10 to 14","79175","61830","1405","13675","400","1770","30","75","100","78.1","1.8","17.3","0.5","2.2","0","0.1","0","-1.8","-4.4","5.1","45.5","35.1","-53.8","50","-4.7","-11","-13","24.4","86","151.1","100",""
"46","Manitoba","4.3","00000","15 to 24","168175","126815","3275","33665","700","3530","100","95","100","75.4","1.9","20","0.4","2.1","0.1","0.1","0","-4.5","-12.3","18.6","19.7","43.5","-37.5","46.2","4.6","-2","-23.7","35","68.7","123.4","81.8","171.4"
"46","Manitoba","4.3","00000","15 to 19","82025","62445","1545","15765","340","1830","40","50","100","76.1","1.9","19.2","0.4","2.2","0","0.1","-4.4","-8.8","-12.2","13.5","23.6","39.2","-38.5","42.9","-1.6","-8.7","-23.3","31.9","65.9","123.2","33.3",""
"46","Manitoba","4.3","00000","20 to 24","86155","64365","1730","17895","360","1705","60","40","100","74.7","2","20.8","0.4","2","0.1","0","4.6","0.1","-12.6","23.5","16.1","48.9","-36.8","14.3","11.4","5.5","-24","37.8","67.4","125.8","140","14.3"
"46","Manitoba","4.3","00000","25 to 44","330235","226235","8530","85825","1135","8120","265","115","100","68.5","2.6","26","0.3","2.5","0.1","0","8.4","3.1","-2.7","23.3","21.4","46.8","-36.9","53.3","9.9","0.6","-16.9","39.4","84.6","155.3","60.6","1050"
"46","Manitoba","4.3","00000","45 to 64","331745","233770","13635","77830","755","5560","160","45","100","70.5","4.1","23.5","0.2","1.7","0","0","1.6","0","-11.3","8.5","-7.4","26.9","-59.5","-18.2","12.3","12","-12.1","15.4","39.8","89.1","18.5","350"
"46","Manitoba","4.3","00000","65 and over","188030","121285","10885","52165","575","3000","105","30","100","64.5","5.8","27.7","0.3","1.6","0.1","0","15.3","21.4","6.4","5.3","16.2","14.7","-62.5","-14.3","23.9","37.6","13.1","0.9","53.3","57.5","162.5","0"
"46","Manitoba","4.3","00000","65 to 74","109255","74755","6025","26470","305","1630","60","15","100","68.4","5.5","24.2","0.3","1.5","0.1","0","24.9","33.6","12","8.6","13","25.9","-60","-25","40.6","62.5","16.3","4.5","32.6","73.4","50","-25"
"46","Manitoba","4.3","00000","75 and over","78775","46530","4860","25690","265","1370","45","15","100","59.1","6.2","32.6","0.3","1.7","0.1","0","4.2","6","0.2","2.2","20.5","3.8","-65.4","0","6.4","10.4","9.3","-2.6","76.7","41.2","","50"
"47","Saskatchewan","4.8","00000","Total","1083235","892620","15095","156960","2045","15925","315","280","100","82.4","1.4","14.5","0.2","1.5","0","0","6.4","3.7","-7.3","21.6","18.6","61.8","-58","60","13.6","10","-6","32.5","81","161.9","28.6","93.1"
"47","Saskatchewan","4.8","00000","0 to 14","215260","185320","1050","24335","500","3880","45","135","100","86.1","0.5","11.3","0.2","1.8","0","0.1","9","5.8","13.5","28.3","28.2","104.2","-43.8","125","14.7","8.8","12.9","60.3","100","370.3","200","575"
"47","Saskatchewan","4.8","00000","0 to 4","73025","63250","345","7720","170","1505","15","35","100","86.6","0.5","10.6","0.2","2.1","0","0","6.3","3.6","9.5","20","36","106.2","-40","133.3","27.8","22.9","23.2","55","70","401.7","",""
"47","Saskatchewan","4.8","00000","5 to 9","74415","64535","375","8010","195","1230","15","55","100","86.7","0.5","10.8","0.3","1.7","0","0.1","17.6","15.1","44.2","29.3","39.3","103.3","-50","120","21","15.3","56.3","63.3","105.3","392","50","266.7"
"47","Saskatchewan","4.8","00000","10 to 14","67820","57535","335","8605","130","1145","15","50","100","84.8","0.5","12.7","0.2","1.7","0","0.1","3.5","-1","-2.9","35.8","4","100.9","-40","150","-1.7","-8.6","-19.3","62.4","136.4","316.4","","400"
"47","Saskatchewan","4.8","00000","15 to 24","136830","115765","895","17885","280","1950","25","30","100","84.6","0.7","13.1","0.2","1.4","0","0","-4.7","-9","-5.8","27.5","14.3","102.1","-58.3","20","-3.4","-9.8","-7.7","54.5","69.7","233.3","150","50"
"47","Saskatchewan","4.8","00000","15 to 19","67255","56975","360","8705","140","1040","15","20","100","84.7","0.5","12.9","0.2","1.5","0","0","-5.9","-10.6","-19.1","31","27.3","112.2","-50","0","-10.2","-16.4","-28","47.5","75","307.8","","100"
"47","Saskatchewan","4.8","00000","20 to 24","69575","58785","540","9180","135","910","10","10","100","84.5","0.8","13.2","0.2","1.3","0","0","-3.5","-7.5","5.9","24.5","-3.6","89.6","-60","0","4.2","-2.3","14.9","61.8","58.8","180","0","0"
"47","Saskatchewan","4.8","00000","25 to 44","289765","230175","2845","51215","565","4790","120","60","100","79.4","1","17.7","0.2","1.7","0","0","12.9","6.4","4.2","49.2","50.7","83.2","-42.9","71.4","21.1","9.7","-5.2","107.3","189.7","240.9","71.4","50"
"47","Saskatchewan","4.8","00000","45 to 64","280880","236830","5210","35325","380","3025","75","30","100","84.3","1.9","12.6","0.1","1.1","0","0","1.4","-0.2","-17.9","15.3","-3.8","35","-58.3","0","14","14.2","-14.7","14.6","28.8","84.5","-6.3","-33.3"
"47","Saskatchewan","4.8","00000","65 and over","160505","124530","5095","28200","325","2280","55","25","100","77.6","3.2","17.6","0.2","1.4","0","0","11.8","19.2","-4.4","-9.3","1.6","7.3","-75.6","25","15.5","30","0.9","-22.1","44.4","40.3","-15.4","0"
"47","Saskatchewan","4.8","00000","65 to 74","89800","73635","2600","12370","175","980","30","15","100","82","2.9","13.8","0.2","1.1","0","0","20.9","29","1.2","-8","9.4","6.5","-68.4","0","28.4","48.1","5.5","-26.4","25","30.7","-14.3",""
"47","Saskatchewan","4.8","00000","75 and over","70700","50890","2500","15830","150","1300","25","5","100","72","3.5","22.4","0.2","1.8","0","0","2.1","7.5","-9.4","-10.4","-6.3","8.3","-80.8","-50","2.4","10.4","-3.3","-18.2","87.5","49.4","-28.6","-75"
"48","Alberta","4.7","20000","Total","4026650","2991480","72155","870945","10225","77520","2685","1640","100","74.3","1.8","21.6","0.3","1.9","0.1","0","11.5","7.6","5.3","24.6","21.6","55.1","-8.8","38.4","23.7","16.1","17.9","49.3","89.2","179.6","102.6","241.7"
"48","Alberta","4.7","20000","0 to 14","778030","626870","6825","119585","2585","21330","330","510","100","80.6","0.9","15.4","0.3","2.7","0","0.1","13.8","10.7","14.8","23.9","26.7","74.4","13.8","52.2","23.3","16.4","59.3","48.1","131.8","244.3","200","325"
"48","Alberta","4.7","20000","0 to 4","266010","212920","2225","41485","940","8205","80","155","100","80","0.8","15.6","0.4","3.1","0","0.1","8.8","5.4","15.3","19.3","15.3","67.4","-15.8","47.6","31.2","24.6","80.9","49.1","144.2","249.1","128.6","287.5"
"48","Alberta","4.7","20000","5 to 9","270470","220470","2365","39425","885","7030","115","185","100","81.5","0.9","14.6","0.3","2.6","0","0.1","23.6","21.1","26.8","30.3","51.3","85","15","105.6","32.6","26.2","75.8","54.4","152.9","256.9","283.3","362.5"
"48","Alberta","4.7","20000","10 to 14","241550","193480","2235","38680","760","6095","130","170","100","80.1","0.9","16","0.3","2.5","0.1","0.1","9.6","6","3.7","22.9","18.8","72.9","30","25.9","7.6","0.2","30.7","41.2","102.7","225.1","188.9","325"
"48","Alberta","4.7","20000","15 to 24","500035","390685","6025","90655","1500","10595","260","305","100","78.1","1.2","18.1","0.3","2.1","0.1","0.1","1.1","-4.6","3.5","27.5","21","58.7","-8.8","45.2","2.5","-5.7","5.8","44.4","57.1","187.5","300","238.9"
"48","Alberta","4.7","20000","15 to 19","239320","187200","2410","43150","705","5555","135","170","100","78.2","1","18","0.3","2.3","0.1","0.1","0.9","-5.1","-1.2","29.1","33","64.1","3.8","54.5","0.7","-8.1","10.6","46.6","64","213.8","440","240"
"48","Alberta","4.7","20000","20 to 24","260715","203490","3620","47500","795","5040","125","140","100","78.1","1.4","18.2","0.3","1.9","0","0.1","1.3","-4.1","7.1","26.1","11.2","53","-16.7","40","4.2","-3.4","2.8","42.6","50","163.9","212.5","250"
"48","Alberta","4.7","20000","25 to 44","1224865","864650","22285","307595","3315","25400","1130","495","100","70.6","1.8","25.1","0.3","2.1","0.1","0","13.8","8.1","10.7","30.3","22.6","57.7","-0.9","35.6","25.6","12.5","17.4","73.4","111.8","215.7","76.6","230"
"48","Alberta","4.7","20000","45 to 64","1048725","776775","23940","230675","1925","14450","720","240","100","74.1","2.3","22","0.2","1.4","0.1","0","8.1","4.7","-3.9","20.9","16.7","40.3","-5.9","20","26.3","21.7","5.4","43","58.4","133.6","132.3","300"
"48","Alberta","4.7","20000","65 and over","475000","332505","13075","122435","905","5745","240","90","100","70","2.8","25.8","0.2","1.2","0.1","0","23.6","26.8","11.4","17.1","17.5","23.3","-47.8","28.6","43.2","53.6","36.7","20.8","63.1","58.9","23.1","38.5"
"48","Alberta","4.7","20000","65 to 74","287320","209490","7865","66120","510","3130","150","60","100","72.9","2.7","23","0.2","1.1","0.1","0","31.9","36","17.4","22.6","21.4","31","-33.3","33.3","53.8","69.9","41.6","18.9","72.9","63","57.9","100"
"48","Alberta","4.7","20000","75 and over","187675","123010","5210","56315","395","2620","90","35","100","65.5","2.8","30","0.2","1.4","0","0","12.7","13.8","3.5","11.4","12.9","15.4","-61.7","40","29.4","32","30.1","23.2","49.1","54.6","-10","0"
"59","British Columbia","4.9","20000","Total","4598415","3170110","57425","1267465","10065","89140","2105","2115","100","68.9","1.2","27.6","0.2","1.9","0","0","5.6","3.5","0.3","9.8","17","29.6","-37.2","38.2","12.9","10.2","4.9","16.1","69.9","103.6","14.4","167.7"
"59","British Columbia","4.9","20000","0 to 14","690920","540700","3470","121800","2395","21655","230","665","100","78.3","0.5","17.6","0.3","3.1","0","0.1","2","2","0","-1.9","21.3","29.7","-11.5","37.1","1.7","2.2","3.7","-9.1","77.4","93.4","27.8","269.4"
"59","British Columbia","4.9","20000","0 to 4","220475","170895","1040","39905","725","7645","90","170","100","77.5","0.5","18.1","0.3","3.5","0","0.1","0.4","-0.7","-5.9","0.5","4.3","30.6","0","54.5","9.1","10.3","-7.1","-4.2","26.1","104.4","50","277.8"
"59","British Columbia","4.9","20000","5 to 9","236765","187820","1205","39490","825","7140","65","220","100","79.3","0.5","16.7","0.3","3","0","0.1","8.2","8.7","7.6","2","36.4","35.2","-7.1","29.4","7.4","8.5","38.5","-6.4","94.1","85.5","-13.3","266.7"
"59","British Columbia","4.9","20000","10 to 14","233680","181980","1230","42405","845","6870","70","275","100","77.9","0.5","18.1","0.4","2.9","0","0.1","-2.1","-1.7","-1.6","-7.4","24.3","23.7","-30","31","-9","-9.6","-8.9","-15.5","141.4","90.6","40","243.8"
"59","British Columbia","4.9","20000","15 to 24","544990","386330","3425","138065","1575","15000","175","415","100","70.9","0.6","25.3","0.3","2.8","0","0.1","-1.6","-5.6","-2.6","7.8","25","35.4","-34","45.6","1.3","-3.1","-3.5","7.5","133.3","131.1","40","232"
"59","British Columbia","4.9","20000","15 to 19","258515","187530","1345","61260","815","7240","80","235","100","72.5","0.5","23.7","0.3","2.8","0","0.1","-5.9","-9.7","-5.9","3.8","29.4","24.5","-33.3","38.2","-5.4","-10","1.9","2.5","176.3","117.1","77.8","235.7"
"59","British Columbia","4.9","20000","20 to 24","286480","198800","2085","76800","760","7755","95","175","100","69.4","0.7","26.8","0.3","2.7","0","0.1","2.7","-1.4","0","11.1","20.6","47.3","-36.7","45.8","8.2","4.6","-6.5","11.8","97.4","145.4","11.8","218.2"
"59","British Columbia","4.9","20000","25 to 44","1198920","791465","15165","362390","2765","25980","680","470","100","66","1.3","30.2","0.2","2.2","0.1","0","4","1.8","0.9","7.3","15","34.1","-27.7","30.6","7","3.3","-6.3","11.9","84.3","114.2","3.8","154.1"
"59","British Columbia","4.9","20000","45 to 64","1347040","906670","20220","398980","2055","18080","655","370","100","67.3","1.5","29.6","0.2","1.3","0","0","2.7","-0.6","-7.2","10.7","9.9","22.5","-33.5","42.3","15.7","11.2","-3.2","26.1","37.5","90.5","15.9","111.4"
"59","British Columbia","4.9","20000","65 and over","816550","544940","15135","246225","1275","8420","360","195","100","66.7","1.9","30.2","0.2","1","0","0","23.7","25.6","12.4","20.9","17.5","22.2","-59.8","44.4","42.6","48.5","40.3","30.4","40.1","87.9","18","56"
"59","British Columbia","4.9","20000","65 to 74","484805","338435","8885","131605","735","4815","215","120","100","69.8","1.8","27.1","0.2","1","0","0","31.7","36.6","18.8","21.8","31.3","30.1","-51.1","84.6","56.2","74.9","47.7","22.2","51.5","93","59.3","20"
"59","British Columbia","4.9","20000","75 and over","331740","206505","6250","114625","540","3605","145","70","100","62.2","1.9","34.6","0.2","1.1","0","0","13.7","11","4.3","19.9","1.9","12.8","-67.8","0","26.6","19.1","31","41.2","27.1","81.6","-14.7","250"
"60","Yukon","6.7","00100","Total","35560","29110","1570","4210","220","420","15","15","100","81.9","4.4","11.8","0.6","1.2","0","0","5.7","3.7","7.9","16.3","57.1","25.4","-25","0","17.8","13.5","42.1","32.4","100","211.1","50",""
"60","Yukon","6.7","00100","0 to 14","6250","5420","220","415","80","105","5","5","100","86.7","3.5","6.6","1.3","1.7","0.1","0.1","6.7","3.7","18.9","31.7","33.3","61.5","0","0","9.6","4.1","51.7","43.1","60","950","",""
"60","Yukon","6.7","00100","0 to 4","2130","1875","75","110","30","35","5","0","100","88","3.5","5.2","1.4","1.6","0.2","0","7.6","7.1","7.1","22.2","0","16.7","","","23.8","24.2","7.1","10","-25","250","",""
"60","Yukon","6.7","00100","5 to 9","2115","1820","80","135","30","40","5","0","100","86.1","3.8","6.4","1.4","1.9","0.2","0","11","6.7","23.1","35","100","100","","","14.9","7.4","128.6","42.1","","300","",""
"60","Yukon","6.7","00100","10 to 14","2005","1720","70","170","20","25","0","0","100","85.8","3.5","8.5","1","1.2","0","0","1.5","-2.5","55.6","30.8","100","66.7","","-100","-6.3","-14.2","75","88.9","100","","",""
"60","Yukon","6.7","00100","15 to 24","3865","3280","125","385","25","50","5","0","100","84.9","3.2","10","0.6","1.3","0.1","0","-12.4","-16.8","4.2","26.2","150","42.9","","","-6.8","-14.1","78.6","71.1","66.7","400","",""
"60","Yukon","6.7","00100","15 to 19","1915","1635","55","175","15","25","0","0","100","85.4","2.9","9.1","0.8","1.3","0","0","-12.8","-16.8","-8.3","20.7","50","66.7","","","-15.6","-22","22.2","75","0","150","",""
"60","Yukon","6.7","00100","20 to 24","1950","1640","65","200","10","25","0","0","100","84.1","3.3","10.3","0.5","1.3","0","0","-12","-17","8.3","25","","66.7","","","4","-5.5","225","60","","","",""
"60","Yukon","6.7","00100","25 to 44","10500","8410","555","1350","75","100","5","5","100","80.1","5.3","12.9","0.7","1","0","0","10.8","7.5","13.3","29.2","200","11.1","0","","20.8","12.7","54.2","66.7","150","300","",""
"60","Yukon","6.7","00100","45 to 64","10810","8785","495","1365","35","125","5","0","100","81.3","4.6","12.6","0.3","1.2","0","0","-1.2","-1.2","-7.5","0.4","40","19","-50","-100","14.3","14.2","17.9","9.6","250","66.7","-50",""
"60","Yukon","6.7","00100","65 and over","4130","3205","175","695","10","40","0","0","100","77.6","4.2","16.8","0.2","1","0","0","38.8","46.7","34.6","15.8","-33.3","-20","","","87.7","119.5","59.1","13.9","0","300","-100",""
"60","Yukon","6.7","00100","65 to 74","2905","2315","125","435","5","30","0","0","100","79.7","4.3","15","0.2","1","0","0","43.5","52.8","38.9","14.5","-50","20","-100","","99","148.9","38.9","2.4","","200","-100",""
"60","Yukon","6.7","00100","75 and over","1225","895","50","260","5","15","0","0","100","73.1","4.1","21.2","0.4","1.2","0","0","28.9","32.6","42.9","20.9","0","-25","-100","","66.7","70.5","100","44.4","","50","",""
"61","Northwest Territories","7.5","00100","Total","41380","31765","1170","7625","145","630","35","10","100","76.8","2.8","18.4","0.4","1.5","0.1","0","0.8","1.2","8.8","-5.2","107.1","41.6","133.3","100","0.8","0.7","20","-6.6","222.2","100","133.3","0"
"61","Northwest Territories","7.5","00100","0 to 14","8845","7915","175","545","55","145","5","5","100","89.5","2","6.2","0.6","1.6","0.1","0.1","-1.7","0.4","12.9","-37","266.7","93.3","","","-10.9","-10.2","45.8","-40.1","266.7","107.1","","-50"
"61","Northwest Territories","7.5","00100","0 to 4","3115","2815","70","140","25","55","0","5","100","90.4","2.2","4.5","0.8","1.8","0","0.2","-5.2","-2.6","16.7","-51.7","400","83.3","","","-3.1","0.4","100","-58.2","150","120","",""
"61","Northwest Territories","7.5","00100","5 to 9","3005","2705","50","180","20","40","0","0","100","90","1.7","6","0.7","1.3","0","0","5.4","8.2","-9.1","-34.5","300","100","","","-3.1","-3.2","25","-26.5","","100","",""
"61","Northwest Territories","7.5","00100","10 to 14","2730","2390","55","220","20","45","0","5","100","87.5","2","8.1","0.7","1.6","0","0.2","-4.5","-4","37.5","-26.7","300","80","","","-24.3","-25.7","37.5","-33.3","","80","",""
"61","Northwest Territories","7.5","00100","15 to 24","5700","4905","90","595","25","85","0","0","100","86.1","1.6","10.4","0.4","1.5","0","0","-14.6","-14.3","5.9","-24.7","66.7","41.7","","","-14.9","-14.2","0","-29.2","150","183.3","",""
"61","Northwest Territories","7.5","00100","15 to 19","2655","2305","45","245","15","40","0","0","100","86.8","1.7","9.2","0.6","1.5","0","0","-21.1","-20.2","28.6","-37.2","200","0","","","-25.4","-24.8","-25","-41","50","166.7","",""
"61","Northwest Territories","7.5","00100","20 to 24","3045","2600","45","350","10","45","0","0","100","85.4","1.5","11.5","0.3","1.5","0","0","-8","-8.3","0","-12.5","0","80","","","-2.9","-2.1","12.5","-17.6","","125","",""
"61","Northwest Territories","7.5","00100","25 to 44","12830","9825","450","2310","40","190","15","0","100","76.6","3.5","18","0.3","1.5","0.1","0","1.6","3.7","8.4","-10.1","60","35.7","200","-100","-2.7","-1","26.8","-16.6","300","46.2","50",""
"61","Northwest Territories","7.5","00100","45 to 64","10920","7510","375","2830","20","170","10","5","100","68.8","3.4","25.9","0.2","1.6","0.1","0","4.1","3.4","2.7","4","33.3","47.8","0","","15.6","16.5","10.3","9.9","","100","","-50"
"61","Northwest Territories","7.5","00100","65 and over","3080","1610","80","1340","0","45","5","0","100","52.3","2.6","43.5","0","1.5","0.2","0","36.6","54.8","45.5","21.8","-100","-18.2","0","","70.6","145.8","14.3","25.8","","350","",""
"61","Northwest Territories","7.5","00100","65 to 74","2200","1285","60","825","5","25","5","0","100","58.4","2.7","37.5","0.2","1.1","0.2","0","43.3","69.1","71.4","19.6","","-37.5","","","88","167.7","71.4","27.9","","150","",""
"61","Northwest Territories","7.5","00100","75 and over","880","330","20","515","0","15","5","0","100","37.5","2.3","58.5","0","1.7","0.6","0","21.4","17.9","0","25.6","","50","","","39.7","83.3","-42.9","21.2","","","",""
"62","Nunavut","7.9","00100","Total","35690","11020","595","23345","25","690","15","5","100","30.9","1.7","65.4","0.1","1.9","0","0","12.4","23.5","36.8","5.8","400","112.3","200","0","21.7","41.9","63","11.8","25","165.4","-40",""
"62","Nunavut","7.9","00100","0 to 14","11670","4005","105","7250","5","295","0","5","100","34.3","0.9","62.1","0","2.5","0","0","12.1","30.5","200","0.8","","181","","0","16.9","47.2","162.5","2.5","-50","126.9","-100",""
"62","Nunavut","7.9","00100","0 to 4","4150","1455","45","2525","5","120","0","5","100","35.1","1.1","60.8","0.1","2.9","0","0.1","4.7","22.8","200","-7","0","118.2","-100","","21.3","56.5","350","4.3","","140","",""
"62","Nunavut","7.9","00100","5 to 9","4105","1410","40","2550","0","100","0","5","100","34.3","1","62.1","0","2.4","0","0.1","23.1","36.2","166.7","13.1","-100","233.3","","","24","52.4","300","9","","233.3","",""
"62","Nunavut","7.9","00100","10 to 14","3410","1140","20","2175","0","75","0","0","100","33.4","0.6","63.8","0","2.2","0","0","9.8","33.3","100","-1.8","","200","","","4.9","31.8","33.3","-6.5","","66.7","",""
"62","Nunavut","7.9","00100","15 to 24","6145","1875","30","4095","5","135","0","0","100","30.5","0.5","66.6","0.1","2.2","0","0","2.9","23.8","-25","-5.9","","92.9","","","9.9","36.9","-33.3","-0.8","","200","",""
"62","Nunavut","7.9","00100","15 to 19","3125","930","5","2125","0","65","0","0","100","29.8","0.2","68","0","2.1","0","0","2.6","19.2","-66.7","-4.1","","116.7","-100","","-0.6","24","-75","-9.6","","160","",""
"62","Nunavut","7.9","00100","20 to 24","3015","940","25","1975","0","75","0","0","100","31.2","0.8","65.5","0","2.5","0","0","3.1","27.9","0","-7.3","","114.3","","","23.3","52.8","25","11","","275","",""
"62","Nunavut","7.9","00100","25 to 44","10305","3290","260","6560","5","185","5","0","100","31.9","2.5","63.7","0","1.8","0","0","14.2","26.8","40.5","6.8","0","105.6","","","20","41.8","73.3","8.5","","184.6","-50",""
"62","Nunavut","7.9","00100","45 to 64","6240","1680","175","4305","5","65","5","0","100","26.9","2.8","69","0.1","1","0.1","0","17.2","3.4","9.4","23.2","","44.4","","","42.8","29.7","40","47.4","-50","225","",""
"62","Nunavut","7.9","00100","65 and over","1330","170","20","1130","5","5","0","0","100","12.8","1.5","85","0.4","0.4","0","0","27.3","41.7","100","25.6","","-50","","","68.4","161.5","100","56.9","","","",""
"62","Nunavut","7.9","00100","65 to 74","990","150","15","810","0","10","0","0","100","15.2","1.5","81.8","0","1","0","0","32","50","200","26.6","","100","","","72.2","233.3","","54.3","","","",""
"62","Nunavut","7.9","00100","75 and over","345","20","5","320","5","0","0","0","100","5.8","1.4","92.8","1.4","0","0","0","19","0","0","23.1","","-100","","","60.5","0","","68.4","-50","","",""

