"Geographic code","Geographic name","Global non-response rate","Data quality flag","Age","Knowledge of official languages - Total (2016 counts)","Knowledge of official languages - English only (2016 counts)","Knowledge of official languages - French only (2016 counts)","Knowledge of official languages - English and French (2016 counts)","Knowledge of official languages - Neither English nor French (2016 counts)","Knowledge of official languages - Total (% distribution (2016))","Knowledge of official languages - English only (% distribution (2016))","Knowledge of official languages - French only (% distribution (2016))","Knowledge of official languages - English and French (% distribution (2016))","Knowledge of official languages - Neither English nor French (% distribution (2016))","Knowledge of official languages - Total (% change (2011 to 2016))","Knowledge of official languages - English only (% change (2011 to 2016))","Knowledge of official languages - French only (% change (2011 to 2016))","Knowledge of official languages - English and French (% change (2011 to 2016))","Knowledge of official languages - Neither English nor French (% change (2011 to 2016))","Knowledge of official languages - Total (% change (2006 to 2016))","Knowledge of official languages - English only (% change (2006 to 2016))","Knowledge of official languages - French only (% change (2006 to 2016))","Knowledge of official languages - English and French (% change (2006 to 2016))","Knowledge of official languages - Neither English nor French (% change (2006 to 2016))"
"01","Canada","4.0","20000","Total","34767250","23757525","4144690","6216070","648975","100","68.3","11.9","17.9","1.9","5","5.3","-0.5","7.3","8.9","11.3","12.4","0.1","14.1","24.7"
"01","Canada","4.0","20000","0 to 14","5833235","3950975","1002980","759555","119730","100","67.7","17.2","13","2.1","4.1","2","3.9","17.3","1.8","4.6","1.6","3","25","12.2"
"01","Canada","4.0","20000","0 to 4","1896765","1341605","362995","93150","99020","100","70.7","19.1","4.9","5.2","1.1","0.9","-0.1","15.2","-2.3","12.2","9.4","17.5","43.5","9.4"
"01","Canada","4.0","20000","5 to 9","2016650","1365705","374365","261825","14755","100","67.7","18.6","13","0.7","11.5","7.7","17","25.4","25.2","11.5","6.2","16","39","28.8"
"01","Canada","4.0","20000","10 to 14","1919820","1243665","265620","404580","5950","100","64.8","13.8","21.1","0.3","0.1","-2.4","-5.6","13","32.2","-7.6","-9.7","-22.3","14.1","25.5"
"01","Canada","4.0","20000","15 to 24","4254955","2899885","320595","1022340","12140","100","68.2","7.5","24","0.3","-2.2","-1.8","-20.5","4.1","-3.3","1.1","3.6","-26.3","6.2","-2.7"
"01","Canada","4.0","20000","15 to 19","2020315","1349750","166010","499575","4975","100","66.8","8.2","24.7","0.2","-7","-6.8","-26.9","1.6","12.2","-5.4","-4.5","-31.1","4.7","6"
"01","Canada","4.0","20000","20 to 24","2234645","1550135","154585","522765","7165","100","69.4","6.9","23.4","0.3","2.5","3","-12.3","6.5","-11.8","7.9","11.9","-20.3","7.8","-8"
"01","Canada","4.0","20000","25 to 44","9119750","6327115","739580","1979520","73535","100","69.4","8.1","21.7","0.8","3.7","4.7","-7.6","5.5","-2.8","3.9","6.1","-19.4","8.1","3"
"01","Canada","4.0","20000","45 to 64","9891210","6834440","1209630","1663645","183500","100","69.1","12.2","16.8","1.9","2.3","3.6","-4","1.1","8.1","15","18.7","0.1","11","34.4"
"01","Canada","4.0","20000","65 and over","5668105","3745110","871905","791015","260065","100","66.1","15.4","14","4.6","20.5","20.7","18.4","22.9","18.1","39.1","37.5","43.5","44.1","34.6"
"01","Canada","4.0","20000","65 to 74","3355980","2221690","502295","518735","113255","100","66.2","15","15.5","3.4","26.9","28.1","23","28.5","16.4","48.8","49.3","45.9","58.1","19.4"
"01","Canada","4.0","20000","75 and over","2312125","1523420","369610","272280","146815","100","65.9","16","11.8","6.3","12.3","11.3","12.7","13.4","19.4","27.1","23.2","40.5","23.2","49.2"
"10","Newfoundland and Labrador","4.0","00000","Total","515680","488800","115","25940","820","100","94.8","0","5","0.2","1.1","0.6","-11.5","10.6","30.2","3","2.7","27.8","9.6","-4.1"
"10","Newfoundland and Labrador","4.0","00000","0 to 14","74360","68170","50","5790","350","100","91.7","0.1","7.8","0.5","-2.9","-4","25","8.8","70.7","-4.9","-6.3","233.3","11.5","25"
"10","Newfoundland and Labrador","4.0","00000","0 to 4","22345","21895","30","195","220","100","98","0.1","0.9","1","-8.7","-9.3","20","30","29.4","-1.8","-2.3","200","25.8","15.8"
"10","Newfoundland and Labrador","4.0","00000","5 to 9","26020","24055","15","1860","90","100","92.4","0.1","7.1","0.3","3.7","2.6","200","14.1","350","-0.2","-0.9","","6.6","38.5"
"10","Newfoundland and Labrador","4.0","00000","10 to 14","25995","22215","5","3735","45","100","85.5","0","14.4","0.2","-3.7","-5.2","0","5.5","125","-11.5","-14.7","","13.4","80"
"10","Newfoundland and Labrador","4.0","00000","15 to 24","54845","47180","10","7585","75","100","86","0","13.8","0.1","-7.9","-9.6","100","3.6","87.5","-16.1","-17.1","0","-9.2","-25"
"10","Newfoundland and Labrador","4.0","00000","15 to 19","27205","22780","5","4385","35","100","83.7","0","16.1","0.1","-7.9","-10.2","0","5.8","75","-20.3","-22.2","","-8.2","-36.4"
"10","Newfoundland and Labrador","4.0","00000","20 to 24","27640","24400","5","3205","35","100","88.3","0","11.6","0.1","-7.9","-9","0","0.9","40","-11.5","-11.6","-50","-10.3","-22.2"
"10","Newfoundland and Labrador","4.0","00000","25 to 44","122665","115040","25","7435","160","100","93.8","0","6.1","0.1","-4.8","-6","25","17.9","23.1","-10","-11.6","25","24.1","-5.9"
"10","Newfoundland and Labrador","4.0","00000","45 to 64","165920","161970","25","3810","115","100","97.6","0","2.3","0.1","-0.4","-0.6","-44.4","10.6","-8","7.4","7.2","-16.7","14.1","-11.5"
"10","Newfoundland and Labrador","4.0","00000","65 and over","97890","96440","10","1325","115","100","98.5","0","1.4","0.1","24.9","24.9","-50","24.4","0","47.9","47.9","-33.3","63.6","-36.1"
"10","Newfoundland and Labrador","4.0","00000","65 to 74","63125","62115","5","955","55","100","98.4","0","1.5","0.1","30.8","30.9","-66.7","31.7","-8.3","61.4","61.3","-75","99","-47.6"
"10","Newfoundland and Labrador","4.0","00000","75 and over","34770","34330","5","370","65","100","98.7","0","1.1","0.2","15.4","15.5","-50","8.8","8.3","28.4","28.7","","13.8","-7.1"
"11","Prince Edward Island","4.1","00000","Total","141020","121815","120","17840","1245","100","86.4","0.1","12.6","0.9","1.9","1","-7.7","4.9","74.1","5.1","4.1","100","4.3","2164"
"11","Prince Edward Island","4.1","00000","0 to 14","22665","18490","55","3820","300","100","81.6","0.2","16.9","1.3","-1.6","-4.3","-26.7","8.8","114.3","-5.6","-10.1","37.5","13","1900"
"11","Prince Edward Island","4.1","00000","0 to 4","6995","6585","40","215","150","100","94.1","0.6","3.1","2.1","-3.8","-5.3","0","2.4","100","5.7","2.6","33.3","30.3","1400"
"11","Prince Edward Island","4.1","00000","5 to 9","7905","6235","10","1570","90","100","78.9","0.1","19.9","1.1","7","1","-50","35.9","157.1","-1.2","-9.2","0","40.2",""
"11","Prince Edward Island","4.1","00000","10 to 14","7770","5670","5","2035","60","100","73","0.1","26.2","0.8","-7.3","-8.5","-66.7","-5.3","71.4","-17.1","-22.1","","-2.9",""
"11","Prince Edward Island","4.1","00000","15 to 24","17210","12975","5","3980","250","100","75.4","0","23.1","1.5","-6.4","-9","","-2.2","525","-7.2","-6.6","","-14.4","2400"
"11","Prince Edward Island","4.1","00000","15 to 19","8620","6170","5","2350","100","100","71.6","0.1","27.3","1.2","-10.5","-15.3","0","1.3","300","-13.4","-14.1","","-15","900"
"11","Prince Edward Island","4.1","00000","20 to 24","8595","6805","5","1630","150","100","79.2","0.1","19","1.7","-1.7","-2.4","","-7.1","900","0","1.4","","-13.5",""
"11","Prince Edward Island","4.1","00000","25 to 44","32295","27320","15","4550","405","100","84.6","0","14.1","1.3","-1.2","-2.9","0","6.8","47.3","-6.5","-10.4","50","11.9",""
"11","Prince Edward Island","4.1","00000","45 to 64","42570","38885","20","3430","235","100","91.3","0","8.1","0.6","-0.8","-0.8","100","-0.9","6.8","11.2","11.7","100","-0.4","1467"
"11","Prince Edward Island","4.1","00000","65 and over","26270","24140","15","2065","50","100","91.9","0.1","7.9","0.2","22.7","22.9","-25","20.8","100","39.4","39.8","","31.9","233.3"
"11","Prince Edward Island","4.1","00000","65 to 74","16350","15055","5","1260","30","100","92.1","0","7.7","0.2","32.2","32.4","-50","29.9","100","54.4","54.9","","44.8",""
"11","Prince Edward Island","4.1","00000","75 and over","9920","9085","10","800","20","100","91.6","0.1","8.1","0.2","9.8","9.8","-33.3","9.6","33.3","20.2","20.5","0","15.9","33.3"
"12","Nova Scotia","3.9","00000","Total","912295","813480","705","95380","2735","100","89.2","0.1","10.5","0.3","0.2","-0.1","-19.4","2.1","67.3","1","1","-29.5","0.4","98.2"
"12","Nova Scotia","3.9","00000","0 to 14","133710","116390","300","15905","1115","100","87","0.2","11.9","0.8","-3.2","-4.7","-21.1","5.3","92.2","-8.7","-11.3","-26.8","11","139.8"
"12","Nova Scotia","3.9","00000","0 to 4","41965","39845","205","1245","670","100","94.9","0.5","3","1.6","-4.5","-5.1","-25.5","1.6","42.6","-0.3","-1.6","-19.6","23.3","103"
"12","Nova Scotia","3.9","00000","5 to 9","45960","39810","70","5775","305","100","86.6","0.2","12.6","0.7","3.5","1.5","-6.7","14.6","335.7","-4.5","-8.4","-41.7","28.9","258.8"
"12","Nova Scotia","3.9","00000","10 to 14","45785","36730","30","8890","135","100","80.2","0.1","19.4","0.3","-8","-10.1","0","0.6","285.7","-18.7","-22.4","0","0.6","170"
"12","Nova Scotia","3.9","00000","15 to 24","107015","87980","50","18770","215","100","82.2","0","17.5","0.2","-8.2","-9.4","25","-3.3","95.5","-9.1","-8.3","25","-13.5","95.5"
"12","Nova Scotia","3.9","00000","15 to 19","51085","40705","15","10255","105","100","79.7","0","20.1","0.2","-10.8","-12.9","0","-2.1","133.3","-16.8","-18","","-12.7","200"
"12","Nova Scotia","3.9","00000","20 to 24","55925","47275","35","8515","110","100","84.5","0.1","15.2","0.2","-5.8","-6.1","75","-4.8","83.3","-0.7","2.1","0","-14.4","46.7"
"12","Nova Scotia","3.9","00000","25 to 44","213470","186985","95","25845","540","100","87.6","0","12.1","0.3","-3.3","-3.9","-13.6","0.5","80","-11.3","-12.3","-38.7","-4.8","129.8"
"12","Nova Scotia","3.9","00000","45 to 64","282260","259720","105","21960","470","100","92","0","7.8","0.2","-2.4","-2.4","-30","-2.7","40.3","5.7","6.2","-25","-0.6","108.9"
"12","Nova Scotia","3.9","00000","65 and over","175845","162400","150","12890","400","100","92.4","0.1","7.3","0.2","20.5","20.5","-25","21.2","29","34.2","34.5","-43.4","32.4","14.3"
"12","Nova Scotia","3.9","00000","65 to 74","107455","99025","55","8190","190","100","92.2","0.1","7.6","0.2","27.6","27.7","-35.3","27.2","31","48.6","48.6","-60.7","52.4","35.7"
"12","Nova Scotia","3.9","00000","75 and over","68390","63380","95","4705","215","100","92.7","0.1","6.9","0.3","10.9","10.8","-13.6","12.2","30.3","16.4","17.2","-20.8","7.9","2.4"
"13","New Brunswick","3.9","00000","Total","736285","420815","63145","249950","2370","100","57.2","8.6","33.9","0.3","-0.5","-1.4","-4.9","1.7","148.2","2.3","3.9","-14.4","4.1","209.8"
"13","New Brunswick","3.9","00000","0 to 14","110395","65150","15595","28630","1020","100","59","14.1","25.9","0.9","-2.7","-5.4","-10.8","6.4","300","-6.6","-5.7","-20.3","-2.6","410"
"13","New Brunswick","3.9","00000","0 to 4","34345","23425","6560","3815","550","100","68.2","19.1","11.1","1.6","-5.9","-7.3","-13.4","9.5","223.5","-0.2","-2.4","-11.2","30.4","378.3"
"13","New Brunswick","3.9","00000","5 to 9","38235","24240","5770","7880","340","100","63.4","15.1","20.6","0.9","4.3","1.2","-1.1","15.7","580","-1.4","3.3","-12.2","-9.4","871.4"
"13","New Brunswick","3.9","00000","10 to 14","37820","17485","3270","16930","135","100","46.2","8.6","44.8","0.4","-6.2","-10.8","-19.9","1.9","285.7","-16","-19.1","-41.5","-4.8","200"
"13","New Brunswick","3.9","00000","15 to 24","81755","40860","4045","36680","175","100","50","4.9","44.9","0.2","-9.2","-10.6","-25.5","-5.5","169.2","-11.1","-4.9","-41.5","-12.7","133.3"
"13","New Brunswick","3.9","00000","15 to 19","40495","19170","2080","19165","75","100","47.3","5.1","47.3","0.2","-11.4","-14.2","-30.9","-5.8","200","-15.2","-11.5","-45.8","-13.7","200"
"13","New Brunswick","3.9","00000","20 to 24","41260","21690","1960","17515","95","100","52.6","4.8","42.5","0.2","-6.9","-7.2","-19","-5.2","137.5","-6.8","1.7","-36.4","-11.6","90"
"13","New Brunswick","3.9","00000","25 to 44","172490","94190","8595","69080","625","100","54.6","5","40","0.4","-6","-6.9","-13.1","-4.2","160.4","-11.7","-12.2","-39.5","-6.5","331"
"13","New Brunswick","3.9","00000","45 to 64","230000","135540","19545","74530","375","100","58.9","8.5","32.4","0.2","-2.7","-2.7","-5","-2.3","59.6","8.1","10.4","-5.2","7.6","177.8"
"13","New Brunswick","3.9","00000","65 and over","141640","85070","15365","41035","170","100","60.1","10.8","29","0.1","21.5","18.8","18.3","29.1","9.7","39.9","35","23.5","60.7","-20.9"
"13","New Brunswick","3.9","00000","65 to 74","86940","51455","8610","26780","95","100","59.2","9.9","30.8","0.1","29.2","26.9","27.8","34.4","46.2","55.7","51.3","31.3","77","-32.1"
"13","New Brunswick","3.9","00000","75 and over","54700","33615","6750","14255","75","100","61.5","12.3","26.1","0.1","11.1","8.3","8","20","-16.7","20.5","15.9","14.7","37","0"
"24","Quebec","3.7","20000","Total","8066555","372445","4032640","3586410","75060","100","4.6","50","44.5","0.9","3.2","2.4","-0.4","7.7","-1.5","8.5","10.6","0.5","18.8","6.7"
"24","Quebec","3.7","20000","0 to 14","1331960","58565","968275","280705","24420","100","4.4","72.7","21.1","1.8","5.9","-2.7","4.4","15.7","-11.1","6.4","-4.3","3.7","21.2","-1.1"
"24","Quebec","3.7","20000","0 to 4","444730","30330","345885","47845","20670","100","6.8","77.8","10.8","4.6","0.9","-5","0.4","18.7","-13.5","18.5","-0.8","18.7","47","-0.3"
"24","Quebec","3.7","20000","5 to 9","468865","17235","362535","86255","2835","100","3.7","77.3","18.4","0.6","17.4","2.2","17.6","20.7","2.5","17.7","-1.8","17","26.9","-9.1"
"24","Quebec","3.7","20000","10 to 14","418365","10995","259855","146605","910","100","2.6","62.1","35","0.2","0.2","-3.5","-5.4","12.1","13.8","-12.4","-16","-21.9","11.8","9.6"
"24","Quebec","3.7","20000","15 to 24","927105","34195","314080","577385","1440","100","3.7","33.9","62.3","0.2","-5.3","4.2","-20.6","5.2","-3.7","-1.9","29.1","-25.9","17.2","-20"
"24","Quebec","3.7","20000","15 to 19","428390","12865","162645","252280","600","100","3","38","58.9","0.1","-12.7","-5.9","-27","-0.6","12.1","-9.6","15.7","-30.7","10.9","-7"
"24","Quebec","3.7","20000","20 to 24","498715","21330","151435","325105","845","100","4.3","30.4","65.2","0.2","2.2","11.4","-12.3","10.1","-12.4","6","38.6","-19.9","22.6","-26.8"
"24","Quebec","3.7","20000","25 to 44","2060650","95350","724620","1233340","7340","100","4.6","35.2","59.9","0.4","1.3","0.3","-7.6","7.6","-9.9","-0.5","5.7","-18.9","14.3","-5.4"
"24","Quebec","3.7","20000","45 to 64","2324450","103340","1180660","1025490","14955","100","4.4","50.8","44.1","0.6","-1.1","2.7","-3.9","1.9","4.4","7.2","16.5","0.4","15.2","9.5"
"24","Quebec","3.7","20000","65 and over","1422390","81000","845005","469485","26900","100","5.7","59.4","33","1.9","19","7.8","18.8","22.3","8.7","42.1","15.4","44.8","44.6","19.7"
"24","Quebec","3.7","20000","65 to 74","850780","41065","488545","311080","10090","100","4.8","57.4","36.6","1.2","24.1","12.7","23.3","27.8","4.1","48.7","18.9","47.1","58.9","1.7"
"24","Quebec","3.7","20000","75 and over","571615","39940","356460","158400","16810","100","7","62.4","27.7","2.9","12.2","3.2","13.2","12.7","11.6","33.4","12.1","41.8","22.8","33.8"
"35","Ontario","3.7","20000","Total","13312870","11455500","40045","1490395","326935","100","86","0.3","11.2","2.5","4.6","4.3","-6.8","6.8","9.4","10.7","10.8","-18.6","8.2","22.6"
"35","Ontario","3.7","20000","0 to 14","2205740","1857920","15565","284675","47585","100","84.2","0.7","12.9","2.2","1.2","-1.1","-7.5","21","0.2","-0.2","-3.7","-11.7","31.5","1.4"
"35","Ontario","3.7","20000","0 to 4","696510","619280","8255","28865","40105","100","88.9","1.2","4.1","5.8","-1","-1","-10.6","8.5","-4.8","3.8","3.3","-4.4","34","-3.1"
"35","Ontario","3.7","20000","5 to 9","755520","640875","5200","104370","5075","100","84.8","0.7","13.8","0.7","6.1","3","-1.7","29","35.9","4.8","-0.5","-9.4","54.7","40.2"
"35","Ontario","3.7","20000","10 to 14","753710","597760","2110","151430","2405","100","79.3","0.3","20.1","0.3","-1.2","-5.3","-8.1","18.6","50.3","-7.8","-12.8","-35.3","18.8","25.3"
"35","Ontario","3.7","20000","15 to 24","1701290","1447880","1820","245800","5785","100","85.1","0.1","14.4","0.3","-0.6","-1.3","-16.1","4.3","-4.8","4.7","6","-47.6","-1.8","4.8"
